id,lat,lng,start,end,type,sev
sto_1503090000_00001,14.674,300.398,1503090000,1503608400,3,1
fir_1536354000_00001,-35.713,400.314,1536354000,1539982800,1,1
fir_1089147600_00002,-3.023,300.732,1089147600,1091048400,1,2
flo_1624482000_00001,23.805,199.736,1624482000,1625346000,2,1
fir_1406062800_00003,59.241,599.57,1406062800,1408136400,1,2
sto_1100988000_00002,15.769,250.651,1100988000,1102284000,3,2
fir_900709200_00004,-4.686,500.291,900709200,909090000,1,3
fir_1503781200_00005,59.585,600.885,1503781200,1505077200,1,2
fir_1754514000_00006,-2.97,299.558,1754514000,1755723600,1,1
flo_1377291600_00002,-7.97,300.196,1377291600,1378933200,2,1
vol_1016229600_00001,37.675,15.31,1016229600,1024005600,5,3
fir_1244840400_00007,36.719,300.867,1244840400,1248642000,1,1
dro_1490389200_00001,-19.776,299.945,1490389200,1508274000,6,2
fir_1786914000_00008,-0.058,399.914,1786914000,1787000400,1,1
flo_1026421200_00003,24.601,199.623,1026421200,1028235600,2,2
sto_1761512400_00003,-17.057,300.257,1761512400,1762030800,3,1
fir_1656104400_00009,-33.992,401.376,1656104400,1658869200,1,1
fir_1247864400_00010,-0.009,400.021,1247864400,1251234000,1,1
sto_1281214800_00004,14.84,250.314,1281214800,1282856400,3,2
flo_1465333200_00004,50.015,300.028,1465333200,1467406800,2,1
fir_1374613200_00011,-4.536,500.327,1374613200,1375822800,1,2
sto_942357600_00005,22.417,250.051,942357600,942876000,3,1
flo_1219698000_00005,-7.679,299.872,1219698000,1219957200,2,2
fir_1055624400_00012,-34.903,398.892,1055624400,1058216400,1,1
ear_841266000_00001,35.85,251.475,841266000,841266000,4,3
ear_1388095200_00002,-29.879,400.028,1388095200,1388095200,4,3
fir_1536094800_00013,59.577,600.591,1536094800,1538514000,1,1
fir_874443600_00014,37.329,299.895,874443600,874789200,1,2
sto_1505250000_00006,14.377,300.655,1505250000,1505682000,3,2
vol_936478800_00002,31.623,130.363,936478800,944254800,5,3
sto_1099605600_00007,15.689,249.459,1099605600,1100469600,3,2
fir_1401742800_00015,-5.464,499.456,1401742800,1405198800,1,1
flo_1121374800_00006,39.297,399.287,1121374800,1122498000,2,2
sto_1123189200_00008,-16.91,300.799,1123189200,1124917200,3,2
vol_1676581200_00003,63.659,-19.762,1676581200,1681246800,5,2
fir_906843600_00016,0.127,400.002,906843600,907189200,1,1
fir_1379451600_00017,-2.765,301.148,1379451600,1381957200,1,1
fir_1373749200_00018,0.146,400.019,1373749200,1377032400,1,2
flo_1193518800_00007,24.647,199.457,1193518800,1193950800,2,1
sto_1730408400_00009,20.997,499.288,1730408400,1731099600,3,2
vol_1171663200_00004,-21.007,55.899,1171663200,1177624800,5,1
ear_1486674000_00003,36.699,248.637,1486674000,1486674000,4,1
flo_1031691600_00008,32.635,300.85,1031691600,1033678800,2,1
fir_1149368400_00019,-2.458,300.339,1149368400,1152392400,1,1
fir_1187038800_00020,38.183,249.893,1187038800,1189458000,1,1
flo_846277200_00009,30.504,249.549,846277200,847573200,2,1
sto_1445461200_00010,19.682,498.837,1445461200,1446584400,3,2
sto_1378501200_00011,15.011,250.306,1378501200,1379538000,3,1
vol_1626037200_00005,46.334,-122.393,1626037200,1632776400,5,3
sto_1289772000_00012,15.265,300.452,1289772000,1290895200,3,2
flo_1438549200_00010,-7.762,300.346,1438549200,1440450000,2,1
ear_855007200_00004,38.826,199.781,855007200,855007200,4,1
sto_1320703200_00013,15.06,299.397,1320703200,1321999200,3,2
sto_1282078800_00014,14.624,300.439,1282078800,1283720400,3,3
ear_1572296400_00005,-43.143,199.873,1572296400,1572296400,4,3
vol_1534971600_00006,-8.141,113.117,1534971600,1542747600,5,3
flo_1661374800_00011,39.605,400.047,1661374800,1662152400,2,1
flo_1155848400_00012,40.366,400.791,1155848400,1156712400,2,1
fir_1158181200_00021,60.349,600.429,1158181200,1160514000,1,1
ear_848095200_00006,28.613,300.147,848095200,848095200,4,3
flo_1789678800_00013,24.718,199.623,1789678800,1792270800,2,1
sto_847663200_00015,-17.104,299.969,847663200,849218400,3,1
ear_1701291600_00007,-30.442,399.372,1701291600,1701291600,4,2
sto_876690000_00016,15.562,300.111,876690000,877381200,3,3
flo_1251320400_00014,32.518,299.723,1251320400,1253739600,2,2
fir_1593032400_00022,37.822,250.207,1593032400,1593464400,1,1
fir_931986000_00023,-2.994,299.168,931986000,935701200,1,1
ear_982533600_00008,-30.137,399.305,982533600,982533600,4,3
flo_1215032400_00015,49.872,299.941,1215032400,1216242000,2,2
ear_1788987600_00009,36.861,149.32,1788987600,1788987600,4,2
dro_1331416800_00002,14.986,499.993,1331416800,1345240800,6,3
fir_1727038800_00024,60.581,599.179,1727038800,1735333200,1,3
fir_1600117200_00025,38.185,249.895,1600117200,1603141200,1,2
ear_943048800_00010,38.888,199.815,943048800,943048800,4,1
ear_1280523600_00011,27.752,299.99,1280523600,1280523600,4,1
ear_1211490000_00012,17.401,199.798,1211490000,1211490000,4,2
fir_1316034000_00026,-34.413,399.965,1316034000,1319922000,1,2
fir_1313269200_00027,-35.255,399.21,1313269200,1315342800,1,2
sto_1568149200_00017,15.322,249.581,1568149200,1568667600,3,2
sto_1601758800_00018,19.277,500.645,1601758800,1603573200,3,1
fir_866581200_00028,-4.653,500.607,866581200,868136400,1,1
vol_837723600_00007,46.399,-122.196,837723600,845499600,5,2
flo_1309122000_00016,29.799,250.678,1309122000,1311627600,2,1
flo_1785704400_00017,50.035,299.861,1785704400,1787432400,2,1
fir_1221426000_00029,-2.174,300.23,1221426000,1224363600,1,2
sto_1789938000_00019,22.316,249.773,1789938000,1790456400,3,3
sto_1289340000_00020,19.391,500.141,1289340000,1290722400,3,2
fir_1626210000_00030,-5.219,500.057,1626210000,1627678800,1,2
fir_1629406800_00031,-33.911,401.006,1629406800,1630357200,1,1
sto_1792184400_00021,14.904,249.943,1792184400,1793480400,3,1
flo_834181200_00018,49.876,299.979,834181200,835045200,2,1
ear_1201903200_00013,-3.92,400.43,1201903200,1201903200,4,2
fir_1251925200_00032,38.06,250.19,1251925200,1255208400,1,1
flo_1313960400_00019,32.337,300.819,1313960400,1316034000,2,1
ear_1278018000_00014,-5.098,399.537,1278018000,1278018000,4,1
ear_1405371600_00015,-4.659,400.106,1405371600,1405371600,4,1
sto_971557200_00022,21.797,249.513,971557200,973285200,3,1
flo_1128114000_00020,24.767,200.204,1128114000,1128718800,2,1
fir_1313528400_00033,-1.144,299.908,1313528400,1314392400,1,1
flo_1034802000_00021,30.606,249.627,1034802000,1036011600,2,1
fir_1086814800_00034,37.984,299.276,1086814800,1089666000,1,1
ear_1506027600_00016,-40.861,199.808,1506027600,1506027600,4,2
sto_1415397600_00023,21.298,249.308,1415397600,1416261600,3,3
flo_1500152400_00022,32.485,300.47,1500152400,1501362000,2,2
fir_1346446800_00035,37.933,249.817,1346446800,1347051600,1,2
flo_1161550800_00023,-8.339,300.354,1161550800,1162414800,2,2
fir_1475010000_00036,-5.381,499.551,1475010000,1476824400,1,1
sto_1251147600_00024,20.307,501.138,1251147600,1251579600,3,3
vol_861397200_00008,-0.86,-78.565,861397200,862434000,5,2
ear_1166047200_00017,38.911,199.95,1166047200,1166047200,4,2
ear_1361916000_00018,-29.578,399.836,1361916000,1361916000,4,2
