years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
0,-31.5913,313.66,-24.5,8.49,8.96
10,-31.5913,310.65333333333336,-19.7,8.394,8.9501695384
20,-31.5913,305.38,-17.8,8.356,8.940278333866667
30,-31.5913,301.88,-13.4,8.268,8.9303266568
40,-31.5913,297.87,-9.7,8.194,8.920314777600002
50,-31.5913,295.1925,-5.9,8.118,8.910242966666669
60,-31.5913,291.63,-6.4,8.128,8.900111494400003
70,-31.5913,287.77,-6.2,8.124,8.8899206312
80,-31.5913,287.99,-5.7,8.114,8.879670647466666
90,-31.5913,286.81,-4.6,8.092,8.869361813600001
100,-31.604091666666665,286.5433333333333,-3.4,8.068,8.8589944
110,-31.612299999999998,283.775,-2.7,8.054,8.848568677066666
120,-31.6111,285.5,2.4,7.952,8.838084915200001
130,-31.706957142857146,282.75545454545454,2.7,7.946,8.8275433848
140,-31.773014285714286,283.9642857142857,0.4,7.992,8.816944356266667
150,-31.83244285714286,282.8,-2.7,8.054,8.8062881
160,-31.967266666666667,278.56642857142856,-9.0,8.18,8.7955748864
170,-32.03568333333333,280.24,-3.0,8.06,8.784804985866668
180,-31.984585714285714,277.276,-1.2,8.024,8.7739786688
190,-31.984042857142857,277.41200000000003,2.9,7.942,8.763096205600002
200,-32.022,277.6,2.2,7.956,8.752157866666668
210,-32.017799999999994,277.185,4.3,7.914,8.741163922400002
220,-32.020675,277.79,8.0,7.84,8.7301146432
230,-32.0261875,278.1725,14.6,7.708,8.719010299466667
240,-32.01855714285714,277.84749999999997,16.3,7.674,8.707851161599999
250,-32.02545,277.52250000000004,16.7,7.666,8.6966375
260,-32.074825000000004,276.32,14.0,7.72,8.685369585066665
270,-32.05905714285714,276.745,11.4,7.772,8.6740476872
280,-32.01197777777778,277.17,10.7,7.786,8.662672076800002
290,-31.99105,277.59499999999997,6.6,7.868,8.651243024266668
300,-32.0028,278.02,4.9,7.902,8.639760800000001
310,-32.022128571428574,276.69,1.8,7.964,8.6282256744
320,-32.075824999999995,274.0445454545454,-1.9,8.038,8.616637917866667
330,-32.0848,272.5152631578947,-2.5,8.05,8.6049978008
340,-32.07285,271.11,-3.5,8.07,8.593305593599998
350,-32.021,276.39,-1.9,8.038,8.581561566666668
360,-31.990085714285716,280.235,1.2,7.976,8.5697659904
370,-31.9811,281.986,3.1,7.938,8.5579191352
380,-31.985412500000002,282.3585714285714,5.8,7.884,8.546021271466667
390,-31.9794125,281.83,6.8,7.864,8.5340726696
400,-31.948555555555554,283.53,10.0,7.8,8.5220736
410,-31.9179375,283.74,11.3,7.774,8.510024333066667
420,-31.921233333333333,283.95,13.1,7.738,8.4979251392
430,-31.947655555555556,283.6535714285714,10.2,7.796,8.4857762888
440,-31.962266666666668,283.35714285714283,10.4,7.792,8.473578052266667
450,-32.009425,282.944375,10.3,7.794,8.4613307
460,-31.9889,282.06625,10.2,7.796,8.4490345024
470,-31.929333333333332,281.188125,10.7,7.786,8.436689729866666
480,-31.882075,280.31,9.4,7.812,8.424296652799999
490,-31.8647,281.27,10.3,7.794,8.411855541600001
500,-31.878044444444445,282.23,7.0,7.86,8.399366666666667
510,-31.8584,281.0395238095238,4.1,7.918,8.3868302984
520,-31.84072,279.8490476190476,2.0,7.96,8.3742467072
530,-31.807955555555555,279.715,-0.8,8.016,8.361616163466666
540,-31.8337,279.7605,-1.2,8.024,8.3489389376
550,-31.92231111111111,280.3655,-4.1,8.082,8.336215300000001
560,-31.9882,280.8492857142857,-8.8,8.176,8.323445521066665
570,-32.0289,280.2421428571429,-11.5,8.23,8.310629871200002
580,-32.01311111111111,279.63500000000005,-11.5,8.23,8.2977686208
590,-31.979699999999998,279.02785714285716,-6.1,8.122,8.284862040266667
600,-31.9316,278.4207142857143,-0.9,8.018,8.2719104
610,-31.890933333333333,281.215,0.7,7.986,8.2589139704
620,-31.83755,283.96173913043475,2.8,7.944,8.245873021866666
630,-31.7816,282.8791304347826,-0.7,8.014,8.2327878248
640,-31.7193,281.7965217391304,-0.5,8.01,8.2196586496
650,-31.74982222222222,280.71103448275863,-3.4,8.068,8.206485766666667
660,-31.77635,279.6248275862069,-5.5,8.11,8.1932694464
670,-31.7172,278.5386206896552,-8.3,8.166,8.1800099592
680,-31.66351111111111,280.2157894736842,-13.2,8.264,8.166707575466667
690,-31.72297777777778,282.2,-15.9,8.318,8.153362565599998
700,-31.75808888888889,282.47243902439027,-15.9,8.318,8.1399752
710,-31.815733333333334,282.7846341463415,-13.6,8.272,8.126545749066665
720,-31.8596,283.0968292682927,-12.8,8.256,8.113074483200002
730,-31.946133333333332,283.4090243902439,-15.6,8.312,8.0995616728
740,-31.99088888888889,283.7672727272727,-18.4,8.368,8.086007588266666
750,-31.912755555555556,284.54,-18.5,8.37,8.0724125
760,-31.7144,284.3723529411765,-16.2,8.324,8.0587766784
770,-31.53756,284.204705882353,-14.8,8.296,8.045100393866665
780,-31.44424,284.03705882352943,-15.3,8.306,8.0313839168
790,-31.384044444444445,284.1405263157895,-17.1,8.342,8.017627517600001
800,-31.36831111111111,284.42473684210523,-20.5,8.41,8.003831466666668
810,-31.3348,284.13290322580644,-19.6,8.392,7.989996034400001
820,-31.314159999999998,283.59419354838707,-18.0,8.36,7.976121491200001
830,-31.3284,283.0554838709677,-18.0,8.36,7.962208107466667
840,-31.353066666666667,282.93375,-17.8,8.356,7.9482561536
850,-31.3642,283.09,-14.6,8.292,7.934265899999999
860,-31.3844,283.00379310344823,-15.0,8.3,7.920237617066666
870,-31.37182222222222,282.91758620689654,-11.0,8.22,7.9061715752
880,-31.304199999999998,282.75095238095236,-8.2,8.164,7.8920680448
890,-31.262044444444445,281.8604761904762,-6.8,8.136,7.877927296266667
900,-31.2676,280.97,-7.6,8.152,7.863749599999999
910,-31.220222222222223,280.87904761904764,-9.2,8.184,7.8495352264
920,-31.06376,280.4695238095238,-12.1,8.242,7.835284445866667
930,-30.939777777777778,280.06,-16.2,8.324,7.8209975287999995
940,-30.801750000000002,279.55771428571427,-17.0,8.34,7.806674745599999
950,-30.5756,279.25485714285713,-13.0,8.26,7.792316366666667
960,-30.47737777777778,278.952,-19.4,8.388,7.7779226624
970,-30.506,278.5804,-18.3,8.366,7.7634939032
980,-30.621399999999998,278.0484,-20.5,8.41,7.7490303594666665
990,-30.6732,277.51640000000003,-18.7,8.374,7.7345323016
1000,-30.6804,277.91232558139535,-19.1,8.382,7.72
1010,-30.7118,278.54023255813956,-19.3,8.386,7.705417469978947
1020,-30.814799999999998,279.1681395348837,-17.9,8.358,7.690768655270174
1030,-30.952666666666666,279.79604651162794,-14.5,8.29,7.676053718905263
1040,-31.05848888888889,280.02153846153846,-11.3,8.226,7.66127282391579
1050,-31.081333333333333,279.8446153846154,-11.2,8.224,7.646426133333334
1060,-31.086888888888886,279.66769230769233,-14.4,8.288,7.631513810189474
1070,-31.094355555555556,279.4907692307693,-17.7,8.354,7.61653601751579
1080,-31.1592,279.32943396226415,-18.6,8.372,7.601492918343859
1090,-31.209422222222223,279.17849056603774,-17.5,8.35,7.586384675705262
1100,-31.244533333333333,279.0275471698113,-15.4,8.308,7.571211452631578
1110,-31.30186666666667,278.8766037735849,-13.6,8.272,7.555973412154386
1120,-31.4341,278.7256603773585,-13.4,8.268,7.540670717305263
1130,-31.5652,278.7337931034483,-14.9,8.298,7.525303531115789
1140,-31.590899999999998,279.11310344827587,-13.7,8.274,7.509872016617544
1150,-31.63525,279.4924137931035,-12.7,8.254,7.494376336842105
1160,-31.759555555555554,279.6645161290323,-11.1,8.222,7.478816654821053
1170,-31.92373333333333,279.52580645161294,-4.6,8.092,7.463193133585965
1180,-32.0592,279.3870967741936,-19.1,8.382,7.4475059361684215
1190,-32.13688888888889,279.35562500000003,-16.5,8.33,7.431755225599999
1200,-32.16706666666666,279.57437500000003,-16.6,8.332,7.41594116491228
1210,-32.1802,279.79312500000003,-12.3,8.246,7.400063917136841
1220,-32.16608,279.8903448275862,-9.8,8.196,7.384123645305263
