years_bp,geomagnetic_vadm
0,8.49
1,8.482
2,8.476
3,8.466
4,8.458
5,8.45
6,8.44
7,8.43
8,8.418
9,8.406
10,8.394
11,8.382
12,8.372
13,8.366
14,8.36
15,8.358
16,8.358
17,8.36
18,8.36
19,8.358
20,8.356
21,8.35
22,8.342
23,8.33
24,8.32
25,8.308
26,8.298
27,8.29
28,8.282
29,8.276
30,8.268
31,8.258
32,8.248
33,8.238
34,8.23
35,8.22
36,8.214
37,8.208
38,8.204
39,8.2
40,8.194
41,8.188
42,8.178
43,8.168
44,8.156
45,8.144
46,8.134
47,8.126
48,8.12
49,8.118
50,8.118
51,8.118
52,8.118
53,8.116
54,8.114
55,8.112
56,8.11
57,8.112
58,8.116
59,8.122
60,8.128
61,8.134
62,8.136
63,8.136
64,8.134
65,8.13
66,8.126
67,8.122
68,8.12
69,8.12
70,8.124
71,8.13
72,8.136
73,8.14
74,8.142
75,8.142
76,8.14
77,8.134
78,8.126
79,8.12
80,8.114
81,8.11
82,8.11
83,8.11
84,8.112
85,8.112
86,8.112
87,8.108
88,8.102
89,8.098
90,8.092
91,8.088
92,8.088
93,8.086
94,8.086
95,8.086
96,8.084
97,8.08
98,8.076
99,8.072
100,8.068
101,8.064
102,8.06
103,8.058
104,8.058
105,8.056
106,8.056
107,8.056
108,8.058
109,8.056
110,8.054
111,8.05
112,8.044
113,8.036
114,8.026
115,8.012
116,8.0
117,7.986
118,7.972
119,7.962
120,7.952
121,7.946
122,7.942
123,7.942
124,7.944
125,7.946
126,7.95
127,7.95
128,7.95
129,7.948
130,7.946
131,7.942
132,7.942
133,7.942
134,7.944
135,7.946
136,7.952
137,7.958
138,7.968
139,7.978
140,7.992
141,8.006
142,8.016
143,8.026
144,8.032
145,8.036
146,8.038
147,8.04
148,8.042
149,8.046
150,8.054
151,8.066
152,8.08
153,8.1
154,8.12
155,8.14
156,8.158
157,8.17
158,8.178
159,8.18
160,8.18
161,8.174
162,8.166
163,8.156
164,8.144
165,8.132
166,8.12
167,8.106
168,8.092
169,8.076
170,8.06
171,8.044
172,8.03
173,8.02
174,8.012
175,8.01
176,8.01
177,8.014
178,8.018
179,8.022
180,8.024
181,8.022
182,8.018
183,8.01
184,8.002
185,7.992
186,7.982
187,7.972
188,7.962
189,7.952
190,7.942
191,7.934
192,7.93
193,7.928
194,7.93
195,7.934
196,7.94
197,7.944
198,7.95
199,7.954
200,7.956
201,7.958
202,7.958
203,7.956
204,7.956
205,7.952
206,7.948
207,7.942
208,7.934
209,7.926
210,7.914
211,7.906
212,7.896
213,7.89
214,7.884
215,7.88
216,7.876
217,7.87
218,7.862
219,7.852
220,7.84
221,7.824
222,7.81
223,7.796
224,7.782
225,7.77
226,7.758
227,7.746
228,7.734
229,7.72
230,7.708
231,7.696
232,7.684
233,7.676
234,7.67
235,7.668
236,7.668
237,7.668
238,7.67
239,7.67
240,7.674
241,7.676
242,7.678
243,7.678
244,7.678
245,7.674
246,7.67
247,7.668
248,7.664
249,7.664
250,7.666
251,7.668
252,7.674
253,7.678
254,7.686
255,7.692
256,7.698
257,7.704
258,7.71
259,7.714
260,7.72
261,7.724
262,7.73
263,7.736
264,7.74
265,7.746
266,7.752
267,7.758
268,7.762
269,7.768
270,7.772
271,7.774
272,7.776
273,7.776
274,7.774
275,7.772
276,7.77
277,7.77
278,7.772
279,7.778
280,7.786
281,7.796
282,7.806
283,7.816
284,7.824
285,7.832
286,7.84
287,7.846
288,7.854
289,7.86
290,7.868
291,7.876
292,7.882
293,7.886
294,7.89
295,7.892
296,7.894
297,7.896
298,7.896
299,7.898
300,7.902
301,7.906
302,7.91
303,7.916
304,7.922
305,7.928
306,7.934
307,7.94
308,7.948
309,7.956
310,7.964
311,7.972
312,7.978
313,7.986
314,7.992
315,8.0
316,8.01
317,8.018
318,8.026
319,8.034
320,8.038
321,8.042
322,8.042
323,8.04
324,8.036
325,8.034
326,8.032
327,8.032
328,8.036
329,8.042
330,8.05
331,8.058
332,8.064
333,8.07
334,8.074
335,8.076
336,8.076
337,8.074
338,8.072
339,8.07
340,8.07
341,8.07
342,8.072
343,8.076
344,8.078
345,8.076
346,8.072
347,8.064
348,8.056
349,8.046
350,8.038
351,8.032
352,8.026
353,8.022
354,8.018
355,8.014
356,8.008
357,8.002
358,7.994
359,7.984
360,7.976
361,7.968
362,7.96
363,7.956
364,7.952
365,7.95
366,7.948
367,7.946
368,7.944
369,7.942
370,7.938
371,7.936
372,7.93
373,7.926
374,7.92
375,7.916
376,7.91
377,7.902
378,7.896
379,7.89
380,7.884
381,7.878
382,7.874
383,7.872
384,7.872
385,7.874
386,7.874
387,7.876
388,7.874
389,7.87
390,7.864
391,7.858
392,7.85
393,7.844
394,7.838
395,7.834
396,7.828
397,7.822
398,7.816
399,7.808
400,7.8
401,7.794
402,7.79
403,7.788
404,7.788
405,7.79
406,7.79
407,7.788
408,7.784
409,7.78
410,7.774
411,7.766
412,7.76
413,7.752
414,7.744
415,7.7379999999999995
416,7.734
417,7.732
418,7.732
419,7.734
420,7.7379999999999995
421,7.742
422,7.748
423,7.754
424,7.762
425,7.77
426,7.776
427,7.782
428,7.788
429,7.792
430,7.796
431,7.8
432,7.8
433,7.8
434,7.798
435,7.796
436,7.792
437,7.79
438,7.79
439,7.792
440,7.792
441,7.794
442,7.796
443,7.796
444,7.798
445,7.798
446,7.796
447,7.796
448,7.796
449,7.796
450,7.794
451,7.792
452,7.792
453,7.79
454,7.79
455,7.79
456,7.792
457,7.792
458,7.794
459,7.794
460,7.796
461,7.796
462,7.796
463,7.794
464,7.794
465,7.792
466,7.788
467,7.786
468,7.784
469,7.784
470,7.786
471,7.788
472,7.79
473,7.794
474,7.798
475,7.802
476,7.808
477,7.812
478,7.814
479,7.814
480,7.812
481,7.81
482,7.81
483,7.812
484,7.81
485,7.808
486,7.802
487,7.798
488,7.792
489,7.79
490,7.794
491,7.8
492,7.808
493,7.818
494,7.828
495,7.838
496,7.844
497,7.85
498,7.854
499,7.856
500,7.86
501,7.862
502,7.868
503,7.876
504,7.884
505,7.89
506,7.896
507,7.902
508,7.908
509,7.914
510,7.918
511,7.922
512,7.926
513,7.932
514,7.938
515,7.946
516,7.95
517,7.954
518,7.958
519,7.96
520,7.96
521,7.96
522,7.96
523,7.962
524,7.968
525,7.974
526,7.984
527,7.994
528,8.002
529,8.01
530,8.016
531,8.02
532,8.02
533,8.02
534,8.018
535,8.016
536,8.014
537,8.014
538,8.016
539,8.02
540,8.024
541,8.032
542,8.038
543,8.046
544,8.054
545,8.062
546,8.068
547,8.074
548,8.078
549,8.08
550,8.082
551,8.088
552,8.094
553,8.102
554,8.112
555,8.122
556,8.134
557,8.144
558,8.156
559,8.166
560,8.176
561,8.186
562,8.194
563,8.2
564,8.206
565,8.208
566,8.212
567,8.214
568,8.218
569,8.222
570,8.23
571,8.238
572,8.246
573,8.254
574,8.26
575,8.262
576,8.26
577,8.256
578,8.25
579,8.24
580,8.23
581,8.218
582,8.206
583,8.196
584,8.184
585,8.172
586,8.162
587,8.152
588,8.142
589,8.132
590,8.122
591,8.112
592,8.1
593,8.088
594,8.074
595,8.06
596,8.048
597,8.036
598,8.028
599,8.022
600,8.018
601,8.014
602,8.012
603,8.008
604,8.004
605,8.0
606,7.996
607,7.994
608,7.99
609,7.988
610,7.986
611,7.984
612,7.98
613,7.976
614,7.97
615,7.964
616,7.96
617,7.954
618,7.948
619,7.946
620,7.944
621,7.946
622,7.95
623,7.956
624,7.964
625,7.974
626,7.984
627,7.992
628,8.0
629,8.008
630,8.014
631,8.02
632,8.022
633,8.024
634,8.022
635,8.02
636,8.018
637,8.016
638,8.012
639,8.01
640,8.01
641,8.01
642,8.01
643,8.014
644,8.018
645,8.026
646,8.034
647,8.042
648,8.05
649,8.058
650,8.068
651,8.076
652,8.084
653,8.092
654,8.098
655,8.102
656,8.106
657,8.106
658,8.108
659,8.11
660,8.11
661,8.112
662,8.114
663,8.118
664,8.12
665,8.124
666,8.13
667,8.136
668,8.144
669,8.154
670,8.166
671,8.18
672,8.196
673,8.21
674,8.222
675,8.234
676,8.242
677,8.248
678,8.254
679,8.258
680,8.264
681,8.27
682,8.276
683,8.282
684,8.288
685,8.294
686,8.302
687,8.306
688,8.312
689,8.316
690,8.318
691,8.322
692,8.322
693,8.322
694,8.322
695,8.32
696,8.32
697,8.32
698,8.32
699,8.32
700,8.318
701,8.314
702,8.31
703,8.306
704,8.3
705,8.296
706,8.292
707,8.286
708,8.282
709,8.278
710,8.272
711,8.266
712,8.262
713,8.258
714,8.254
715,8.252
716,8.252
717,8.252
718,8.254
719,8.254
720,8.256
721,8.258
722,8.258
723,8.26
724,8.262
725,8.266
726,8.27
727,8.278
728,8.288
729,8.298
730,8.312
731,8.324
732,8.336
733,8.346
734,8.354
735,8.36
736,8.362
737,8.364
738,8.366
739,8.368
740,8.368
741,8.368
742,8.368
743,8.366
744,8.364
745,8.362
746,8.36
747,8.362
748,8.362
749,8.366
750,8.37
751,8.372
752,8.374
753,8.374
754,8.37
755,8.364
756,8.356
757,8.346
758,8.338
759,8.33
760,8.324
761,8.32
762,8.314
763,8.31
764,8.304
765,8.298
766,8.294
