years_bp,gisp2_temp_c
95,-31.5913
107,-31.622
113,-31.6026
119,-31.6002
119,-31.598
125,-31.6656
132,-31.7235
138,-31.7583
145,-31.8098
152,-31.8415
152,-31.8813
159,-31.9559
165,-32.0241
171,-32.038
179,-31.9872
186,-31.9689
193,-31.9954
200,-32.022
200,-32.0291
208,-32.0198
215,-32.0128
223,-32.0254
231,-32.0263
238,-32.0213
245,-32.0117
253,-32.0337
261,-32.0807
268,-32.072
275,-32.0267
284,-32.0002
292,-31.988
292,-32.0024
299,-32.0013
307,-32.0133
314,-32.0339
322,-32.0898
330,-32.0848
338,-32.0848
346,-32.037
354,-32.005
361,-31.9876
369,-31.9811
377,-31.9811
385,-31.9926
393,-31.9715
402,-31.942
409,-31.9187
417,-31.9126
426,-31.9385
435,-31.9591
444,-31.9648
444,-32.0093
452,-32.0243
460,-31.9889
468,-31.942
477,-31.885
485,-31.8772
493,-31.8572
502,-31.884
510,-31.8584
519,-31.8444
529,-31.8076
538,-31.8108
546,-31.9024
555,-31.9472
563,-32.0128
571,-32.0312
579,-32.016
588,-31.99
596,-31.9488
604,-31.9144
613,-31.8792
621,-31.8316
629,-31.7896
638,-31.7176
646,-31.7244
655,-31.7816
663,-31.7732
672,-31.7012
681,-31.6588
689,-31.7204
698,-31.7436
707,-31.8088
716,-31.8296
724,-31.8896
733,-31.9744
742,-31.9956
751,-31.9024
760,-31.7144
769,-31.5472
779,-31.4508
789,-31.3852
798,-31.3748
807,-31.3456
816,-31.3132
826,-31.3156
835,-31.3444
844,-31.36
852,-31.3656
860,-31.3844
869,-31.378
878,-31.3224
886,-31.2496
895,-31.2776
903,-31.2616
912,-31.2084
922,-31.0276
931,-30.9288
939,-30.8272
947,-30.6236
955,-30.4956
964,-30.4628
973,-30.5276
981,-30.6348
990,-30.6732
998,-30.6752
1008,-30.7012
1016,-30.7436
1024,-30.886
1033,-30.986
1042,-31.0792
1051,-31.0816
1059,-31.0876
1068,-31.0812
1077,-31.1404
1086,-31.1968
1095,-31.2252
1104,-31.26
1113,-31.3228
1121,-31.45
1130,-31.5652
1139,-31.5872
1147,-31.6168
1155,-31.666
1164,-31.8344
1173,-31.9684
1180,-32.0592
1188,-32.1312
1197,-32.1568
1206,-32.1876
1214,-32.1728
1224,-32.1616
1232,-32.142
1241,-32.0588
1249,-32.0
1258,-31.9184
1266,-31.914
1276,-31.8824
1285,-31.8288
1285,-31.7664
1295,-31.7312
1295,-31.7696
1304,-31.7968
1304,-31.79
1312,-31.7416
1312,-31.7568
1320,-31.8148
1329,-31.8756
1337,-31.8216
1346,-31.678
1356,-31.6064
1356,-31.54
1365,-31.4136
1375,-31.3372
1455,-31.2064
1465,-31.1224
1474,-31.0504
1484,-30.972
1495,-30.8616
1505,-30.6132
1514,-30.406
1561,-30.8536
1570,-30.8684
1581,-30.8528
1586,-30.8248
1586,-30.8028
1610,-30.6912
1615,-30.6036
1620,-30.4744
1639,-30.5144
1649,-30.548
1659,-30.6032
1668,-30.6744
1678,-30.784
1688,-30.9292
1688,-31.054
1699,-31.0616
1709,-31.0372
1718,-31.1236
1728,-31.038
1739,-31.0952
1749,-31.06
1759,-31.062
1769,-31.0356
1780,-30.9572
1789,-30.9284
1800,-30.9844
1811,-31.0492
1823,-31.0444
1833,-31.0452
1842,-31.1384
1862,-31.2244
1871,-31.2044
1881,-31.1904
1892,-31.1048
1901,-31.0352
1912,-30.9324
1922,-30.8292
1931,-30.5908
1940,-30.4624
1946,-30.312
1958,-30.308
1968,-30.2532
1977,-30.2448
1987,-30.23
1997,-30.21
2006,-30.1052
2016,-29.9572
2019,-29.8624
2033,-29.8748
2046,-29.8372
2046,-29.7996
2057,-29.6404
2068,-29.5708
2078,-29.6412
2088,-29.6832
2099,-29.7492
2108,-29.7792
2116,-29.8368
2127,-29.8812
2139,-30.016
2149,-30.1064
2159,-30.116
2170,-30.024
2181,-29.984
2192,-29.99
2202,-30.0324
2212,-30.2
2222,-30.3908
2233,-30.5716
2242,-30.584
2252,-30.5556
2263,-30.6676
2272,-30.7688
2292,-30.682
2292,-30.608
2303,-30.4748
2313,-30.3012
2323,-30.1432
2333,-30.0964
2354,-30.1232
2354,-30.0996
2364,-30.1556
2372,-30.1732
2372,-30.2732
2394,-30.4764
2405,-30.5296
2413,-30.468
2426,-30.3708
2434,-30.3168
2441,-30.296
2457,-30.3252
2467,-30.3972
2478,-30.3908
2478,-30.3904
2499,-30.3548
2510,-30.3288
2521,-30.356
2530,-30.534
2541,-30.708
2553,-30.7632
2564,-30.8272
2574,-30.894
2586,-30.8808
2597,-30.8524
2608,-30.8228
2619,-30.7372
2630,-30.7356
2641,-30.7968
2651,-30.7888
2661,-30.716
2672,-30.5204
2682,-30.4736
2693,-30.5832
2704,-30.6768
2715,-30.8152
2726,-30.9
2737,-30.9512
2747,-30.9668
2758,-30.9428
2771,-30.9504
2783,-30.8692
2794,-30.7616
2805,-30.6812
2816,-30.6324
2826,-30.5648
2837,-30.55
2847,-30.5444
2856,-30.4556
2867,-30.4336
2879,-30.4768
2889,-30.5576
2900,-30.598
2911,-30.5196
2922,-30.5196
