years_bp,solar_delta_14c
0,-24.5
1,-24.1
2,-23.8
3,-23.3
4,-22.9
5,-22.5
6,-22.0
7,-21.5
8,-20.9
9,-20.3
10,-19.7
11,-19.1
12,-18.6
13,-18.3
14,-18.0
15,-17.9
16,-17.9
17,-18.0
18,-18.0
19,-17.9
20,-17.8
21,-17.5
22,-17.1
23,-16.5
24,-16.0
25,-15.4
26,-14.9
27,-14.5
28,-14.1
29,-13.8
30,-13.4
31,-12.9
32,-12.4
33,-11.9
34,-11.5
35,-11.0
36,-10.7
37,-10.4
38,-10.2
39,-10.0
40,-9.7
41,-9.4
42,-8.9
43,-8.4
44,-7.8
45,-7.2
46,-6.7
47,-6.3
48,-6.0
49,-5.9
50,-5.9
51,-5.9
52,-5.9
53,-5.8
54,-5.7
55,-5.6
56,-5.5
57,-5.6
58,-5.8
59,-6.1
60,-6.4
61,-6.7
62,-6.8
63,-6.8
64,-6.7
65,-6.5
66,-6.3
67,-6.1
68,-6.0
69,-6.0
70,-6.2
71,-6.5
72,-6.8
73,-7.0
74,-7.1
75,-7.1
76,-7.0
77,-6.7
78,-6.3
79,-6.0
80,-5.7
81,-5.5
82,-5.5
83,-5.5
84,-5.6
85,-5.6
86,-5.6
87,-5.4
88,-5.1
89,-4.9
90,-4.6
91,-4.4
92,-4.4
93,-4.3
94,-4.3
95,-4.3
96,-4.2
97,-4.0
98,-3.8
99,-3.6
100,-3.4
101,-3.2
102,-3.0
103,-2.9
104,-2.9
105,-2.8
106,-2.8
107,-2.8
108,-2.9
109,-2.8
110,-2.7
111,-2.5
112,-2.2
113,-1.8
114,-1.3
115,-0.6
116,0.0
117,0.7
118,1.4
119,1.9
120,2.4
121,2.7
122,2.9
123,2.9
124,2.8
125,2.7
126,2.5
127,2.5
128,2.5
129,2.6
130,2.7
131,2.9
132,2.9
133,2.9
134,2.8
135,2.7
136,2.4
137,2.1
138,1.6
139,1.1
140,0.4
141,-0.3
142,-0.8
143,-1.3
144,-1.6
145,-1.8
146,-1.9
147,-2.0
148,-2.1
149,-2.3
150,-2.7
151,-3.3
152,-4.0
153,-5.0
154,-6.0
155,-7.0
156,-7.9
157,-8.5
158,-8.9
159,-9.0
160,-9.0
161,-8.7
162,-8.3
163,-7.8
164,-7.2
165,-6.6
166,-6.0
167,-5.3
168,-4.6
169,-3.8
170,-3.0
171,-2.2
172,-1.5
173,-1.0
174,-0.6
175,-0.5
176,-0.5
177,-0.7
178,-0.9
179,-1.1
180,-1.2
181,-1.1
182,-0.9
183,-0.5
184,-0.1
185,0.4
186,0.9
187,1.4
188,1.9
189,2.4
190,2.9
191,3.3
192,3.5
193,3.6
194,3.5
195,3.3
196,3.0
197,2.8
198,2.5
199,2.3
200,2.2
201,2.1
202,2.1
203,2.2
204,2.2
205,2.4
206,2.6
207,2.9
208,3.3
209,3.7
210,4.3
211,4.7
212,5.2
213,5.5
214,5.8
215,6.0
216,6.2
217,6.5
218,6.9
219,7.4
220,8.0
221,8.8
222,9.5
223,10.2
224,10.9
225,11.5
226,12.1
227,12.7
228,13.3
229,14.0
230,14.6
231,15.2
232,15.8
233,16.2
234,16.5
235,16.6
236,16.6
237,16.6
238,16.5
239,16.5
240,16.3
241,16.2
242,16.1
243,16.1
244,16.1
245,16.3
246,16.5
247,16.6
248,16.8
249,16.8
250,16.7
251,16.6
252,16.3
253,16.1
254,15.7
255,15.4
256,15.1
257,14.8
258,14.5
259,14.3
260,14.0
261,13.8
262,13.5
263,13.2
264,13.0
265,12.7
266,12.4
267,12.1
268,11.9
269,11.6
270,11.4
271,11.3
272,11.2
273,11.2
274,11.3
275,11.4
276,11.5
277,11.5
278,11.4
279,11.1
280,10.7
281,10.2
282,9.7
283,9.2
284,8.8
285,8.4
286,8.0
287,7.7
288,7.3
289,7.0
290,6.6
291,6.2
292,5.9
293,5.7
294,5.5
295,5.4
296,5.3
297,5.2
298,5.2
299,5.1
300,4.9
301,4.7
302,4.5
303,4.2
304,3.9
305,3.6
306,3.3
307,3.0
308,2.6
309,2.2
310,1.8
311,1.4
312,1.1
313,0.7
314,0.4
315,0.0
316,-0.5
317,-0.9
318,-1.3
319,-1.7
320,-1.9
321,-2.1
322,-2.1
323,-2.0
324,-1.8
325,-1.7
326,-1.6
327,-1.6
328,-1.8
329,-2.1
330,-2.5
331,-2.9
332,-3.2
333,-3.5
334,-3.7
335,-3.8
336,-3.8
337,-3.7
338,-3.6
339,-3.5
340,-3.5
341,-3.5
342,-3.6
343,-3.8
344,-3.9
345,-3.8
346,-3.6
347,-3.2
348,-2.8
349,-2.3
350,-1.9
351,-1.6
352,-1.3
353,-1.1
354,-0.9
355,-0.7
356,-0.4
357,-0.1
358,0.3
359,0.8
360,1.2
361,1.6
362,2.0
363,2.2
364,2.4
365,2.5
366,2.6
367,2.7
368,2.8
369,2.9
370,3.1
371,3.2
372,3.5
373,3.7
374,4.0
375,4.2
376,4.5
377,4.9
378,5.2
379,5.5
380,5.8
381,6.1
382,6.3
383,6.4
384,6.4
385,6.3
386,6.3
387,6.2
388,6.3
389,6.5
390,6.8
391,7.1
392,7.5
393,7.8
394,8.1
395,8.3
396,8.6
397,8.9
398,9.2
399,9.6
400,10.0
401,10.3
402,10.5
403,10.6
404,10.6
405,10.5
406,10.5
407,10.6
408,10.8
409,11.0
410,11.3
411,11.7
412,12.0
413,12.4
414,12.8
415,13.1
416,13.3
417,13.4
418,13.4
419,13.3
420,13.1
421,12.9
422,12.6
423,12.3
424,11.9
425,11.5
426,11.2
427,10.9
428,10.6
429,10.4
430,10.2
431,10.0
432,10.0
433,10.0
434,10.1
435,10.2
436,10.4
437,10.5
438,10.5
439,10.4
440,10.4
441,10.3
442,10.2
443,10.2
444,10.1
445,10.1
446,10.2
447,10.2
448,10.2
449,10.2
450,10.3
451,10.4
452,10.4
453,10.5
454,10.5
455,10.5
456,10.4
457,10.4
458,10.3
459,10.3
460,10.2
461,10.2
462,10.2
463,10.3
464,10.3
465,10.4
466,10.6
467,10.7
468,10.8
469,10.8
470,10.7
471,10.6
472,10.5
473,10.3
474,10.1
475,9.9
476,9.6
477,9.4
478,9.3
479,9.3
480,9.4
481,9.5
482,9.5
483,9.4
484,9.5
485,9.6
486,9.9
487,10.1
488,10.4
489,10.5
490,10.3
491,10.0
492,9.6
493,9.1
494,8.6
495,8.1
496,7.8
497,7.5
498,7.3
499,7.2
500,7.0
501,6.9
502,6.6
503,6.2
504,5.8
505,5.5
506,5.2
507,4.9
508,4.6
509,4.3
510,4.1
511,3.9
512,3.7
513,3.4
514,3.1
515,2.7
516,2.5
517,2.3
518,2.1
519,2.0
520,2.0
521,2.0
522,2.0
523,1.9
524,1.6
525,1.3
526,0.8
527,0.3
528,-0.1
529,-0.5
530,-0.8
531,-1.0
532,-1.0
533,-1.0
534,-0.9
535,-0.8
536,-0.7
537,-0.7
538,-0.8
539,-1.0
540,-1.2
541,-1.6
542,-1.9
543,-2.3
544,-2.7
545,-3.1
546,-3.4
547,-3.7
548,-3.9
549,-4.0
550,-4.1
551,-4.4
552,-4.7
553,-5.1
554,-5.6
555,-6.1
556,-6.7
557,-7.2
558,-7.8
559,-8.3
560,-8.8
561,-9.3
562,-9.7
563,-10.0
564,-10.3
565,-10.4
566,-10.6
567,-10.7
568,-10.9
569,-11.1
570,-11.5
571,-11.9
572,-12.3
573,-12.7
574,-13.0
575,-13.1
576,-13.0
577,-12.8
578,-12.5
579,-12.0
580,-11.5
581,-10.9
582,-10.3
583,-9.8
584,-9.2
585,-8.6
586,-8.1
587,-7.6
588,-7.1
589,-6.6
590,-6.1
591,-5.6
592,-5.0
593,-4.4
594,-3.7
595,-3.0
596,-2.4
597,-1.8
598,-1.4
599,-1.1
600,-0.9
601,-0.7
602,-0.6
603,-0.4
604,-0.2
605,0.0
606,0.2
607,0.3
608,0.5
609,0.6
610,0.7
611,0.8
612,1.0
613,1.2
614,1.5
615,1.8
616,2.0
617,2.3
618,2.6
619,2.7
620,2.8
621,2.7
622,2.5
623,2.2
624,1.8
625,1.3
626,0.8
627,0.4
628,0.0
629,-0.4
630,-0.7
631,-1.0
632,-1.1
633,-1.2
634,-1.1
635,-1.0
636,-0.9
637,-0.8
638,-0.6
639,-0.5
640,-0.5
641,-0.5
642,-0.5
643,-0.7
644,-0.9
645,-1.3
646,-1.7
647,-2.1
648,-2.5
649,-2.9
650,-3.4
651,-3.8
652,-4.2
653,-4.6
654,-4.9
655,-5.1
656,-5.3
657,-5.3
658,-5.4
659,-5.5
660,-5.5
661,-5.6
662,-5.7
663,-5.9
664,-6.0
665,-6.2
666,-6.5
667,-6.8
668,-7.2
669,-7.7
670,-8.3
671,-9.0
672,-9.8
673,-10.5
674,-11.1
675,-11.7
676,-12.1
677,-12.4
678,-12.7
679,-12.9
680,-13.2
681,-13.5
682,-13.8
683,-14.1
684,-14.4
685,-14.7
686,-15.1
687,-15.3
688,-15.6
689,-15.8
690,-15.9
691,-16.1
692,-16.1
693,-16.1
694,-16.1
695,-16.0
696,-16.0
697,-16.0
698,-16.0
699,-16.0
700,-15.9
701,-15.7
702,-15.5
703,-15.3
704,-15.0
705,-14.8
706,-14.6
707,-14.3
708,-14.1
709,-13.9
710,-13.6
711,-13.3
712,-13.1
713,-12.9
714,-12.7
715,-12.6
716,-12.6
717,-12.6
718,-12.7
719,-12.7
720,-12.8
721,-12.9
722,-12.9
723,-13.0
724,-13.1
725,-13.3
726,-13.5
727,-13.9
728,-14.4
729,-14.9
730,-15.6
731,-16.2
732,-16.8
733,-17.3
734,-17.7
735,-18.0
736,-18.1
737,-18.2
738,-18.3
739,-18.4
740,-18.4
741,-18.4
742,-18.4
743,-18.3
744,-18.2
745,-18.1
746,-18.0
747,-18.1
748,-18.1
749,-18.3
750,-18.5
751,-18.6
752,-18.7
753,-18.7
754,-18.5
755,-18.2
756,-17.8
757,-17.3
758,-16.9
759,-16.5
760,-16.2
761,-16.0
762,-15.7
